[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'mfa_level': 0, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': '3mE4GQ'}, 'metadata': {'omitted': False, 'hash': 'qj0qFA'}, 'channels': {'omitted': False, 'hash': '+aYFpw'}}, 'lazy': True, 'public_updates_channel_id': None, 'rules_channel_id': None, 'region': 'deprecated', 'stage_instances': [], 'discovery_splash': None, 'large': False, 'voice_states': [], 'premium_progress_bar_enabled': False, 'stickers': [], 'system_channel_flags': 0, 'id': '267095251393576963', 'explicit_content_filter': 0, 'premium_subscription_count': 0, 'hub_type': None, 'embedded_activities': [], 'afk_channel_id': '335540547022356482', 'unavailable': False, 'splash': None, 'joined_at': '2022-11-08T01:16:16.712800+00:00', 'icon': '4b6eadd08efb95e20ca3421801f5f6d6', 'max_video_channel_users': 25, 'vanity_url_code': None, 'threads': [], 'nsfw_level': 0, 'system_channel_id': '267409666944925696', 'max_members': 500000, 'application_command_counts': {}, 'description': None, 'nsfw': False, 'guild_scheduled_events': [], 'channels': [{'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'general', 'last_pin_timestamp': '2018-02-20T17:45:01.756000+00:00', 'last_message_id': '842436160701071361', 'id': '267095251393576963', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '267095251393576963', 'deny': '0', 'allow': '2097153'}], 'name': 'General', 'last_message_id': None, 'id': '267095251846430720', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'name': 'announce', 'last_message_id': '1040069075814064229', 'id': '267409666944925696', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'name': 'AFK', 'last_message_id': None, 'id': '335540547022356482', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Games', 'id': '691669726501404773', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '691669726501404773', 'name': 'Gaming 1', 'last_message_id': None, 'id': '691669785058213928', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '267095251393576963', 'deny': '1048576', 'allow': '0'}, {'type': 0, 'id': '267167784834826242', 'deny': '0', 'allow': '1048576'}, {'type': 0, 'id': '267167266741813248', 'deny': '0', 'allow': '0'}], 'name': 'Stream', 'last_message_id': None, 'id': '707392513727660181', 'flags': 0, 'bitrate': 64000}], 'default_message_notifications': 1, 'application_id': None, 'members': [{'user': {'username': 'RABBOT', 'public_flags': 0, 'id': '1039344351454711888', 'discriminator': '1694', 'bot': True, 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203'}, 'roles': ['1039347594574438420'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-11-08T01:16:16.712800+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'presences': [], 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '1071698665025', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '267095251393576963', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '6546775617', 'name': 'Bot Commander', 'mentionable': False, 'managed': False, 'id': '267166481563779073', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '6546775617', 'name': 'VOICE', 'mentionable': False, 'managed': False, 'id': '267167266741813248', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8589409919', 'name': 'GatsMAN', 'mentionable': False, 'managed': False, 'id': '267167784834826242', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1668042185017, 'unicode_emoji': None, 'tags': {'bot_id': '1039344351454711888'}, 'position': 1, 'permissions': '3841849289792', 'name': 'py-rabbot', 'mentionable': False, 'managed': True, 'id': '1039347594574438420', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'max_stage_video_channel_users': 0, 'afk_timeout': 1800, 'preferred_locale': 'en-US', 'premium_tier': 0, 'name': 'The Gats Cave', 'verification_level': 2, 'banner': None, 'emojis': [], 'features': [], 'owner_id': '244263489248559104', 'member_count': 3}}
[2022-11-09 17:03:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'mfa_level': 0, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'VHL9bA'}, 'metadata': {'omitted': False, 'hash': 'Z1FOnw'}, 'channels': {'omitted': False, 'hash': '7fpeWA'}}, 'lazy': True, 'public_updates_channel_id': None, 'rules_channel_id': None, 'region': 'deprecated', 'stage_instances': [], 'discovery_splash': None, 'large': False, 'voice_states': [], 'premium_progress_bar_enabled': False, 'stickers': [], 'system_channel_flags': 0, 'id': '1031664857939984494', 'explicit_content_filter': 0, 'premium_subscription_count': 3, 'hub_type': None, 'embedded_activities': [], 'afk_channel_id': None, 'unavailable': False, 'splash': None, 'joined_at': '2022-11-08T07:14:35.282000+00:00', 'icon': 'ca9d7312e54142c05092a098fc08236a', 'max_video_channel_users': 25, 'vanity_url_code': None, 'threads': [{'type': 11, 'total_message_sent': 34, 'thread_metadata': {'locked': False, 'invitable': True, 'create_timestamp': '2022-11-03T21:29:05.105000+00:00', 'auto_archive_duration': 1440, 'archived': False, 'archive_timestamp': '2022-11-03T21:29:05.105000+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1031664858493616140', 'owner_id': '244263489248559104', 'name': '5 mins from a lake you arent allowed on', 'message_count': 34, 'member_count': 3, 'last_message_id': '1037842889214017627', 'id': '1037840734260305920', 'guild_id': '1031664857939984494', 'flags': 0}, {'type': 11, 'total_message_sent': 33, 'thread_metadata': {'locked': False, 'invitable': True, 'create_timestamp': '2022-11-04T00:36:32.436000+00:00', 'auto_archive_duration': 1440, 'archived': False, 'archive_timestamp': '2022-11-04T00:36:32.436000+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1031664858493616140', 'owner_id': '244263489248559104', 'name': 'yeah lets do a zoom sometime and i can', 'message_count': 33, 'member_count': 3, 'last_message_id': '1037938865056518164', 'id': '1037886819087429702', 'guild_id': '1031664857939984494', 'flags': 0}, {'type': 11, 'total_message_sent': 15, 'thread_metadata': {'locked': False, 'create_timestamp': '2022-11-05T00:20:28.915431+00:00', 'auto_archive_duration': 1440, 'archived': False, 'archive_timestamp': '2022-11-05T00:20:28.915431+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1031664858493616140', 'owner_id': '244263489248559104', 'name': 'There s a Puppet alumni happy hour', 'message_count': 15, 'member_count': 1, 'last_message_id': '1038248239218036797', 'id': '1038241577425969163', 'guild_id': '1031664857939984494', 'flags': 0}, {'type': 11, 'total_message_sent': 47, 'thread_metadata': {'locked': False, 'create_timestamp': '2022-11-07T17:00:41.214192+00:00', 'auto_archive_duration': 1440, 'archived': False, 'archive_timestamp': '2022-11-07T17:00:41.214192+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1031664858493616140', 'owner_id': '244263489248559104', 'name': 'did some chores had a migraine went book', 'message_count': 47, 'member_count': 4, 'last_message_id': '1039234772188282951', 'id': '1039219890193715200', 'guild_id': '1031664857939984494', 'flags': 0}], 'nsfw_level': 0, 'system_channel_id': '1031664858493616140', 'max_members': 500000, 'application_command_counts': {}, 'description': None, 'nsfw': False, 'guild_scheduled_events': [], 'channels': [{'version': 1666038469675, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1031664858493616139', 'flags': 0}, {'version': 1668018668230, 'type': 0, 'topic': 'Ignorance and corkscrews are bliss :skeleton-dance:', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1031664857939984494', 'deny': '0', 'allow': '0'}, {'type': 0, 'id': '1035654160152006657', 'deny': '0', 'allow': '0'}, {'type': 1, 'id': '312780083532398592', 'deny': '0', 'allow': '0'}], 'parent_id': '1031664858493616139', 'nsfw': True, 'name': 'unslack', 'last_message_id': '1040068562494165032', 'id': '1031664858493616140', 'flags': 0, 'default_thread_rate_limit_per_user': 0}, {'version': 1666038469692, 'type': 4, 'position': 4, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1031664858493616143', 'flags': 0}, {'version': 1666038469695, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1031664858493616143', 'name': 'Lounge', 'last_message_id': None, 'id': '1031664858493616144', 'flags': 0, 'bitrate': 64000}, {'version': 1666998857219, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1031664858493616139', 'name': 'music', 'last_message_id': '1040065828743303218', 'id': '1035693015810986014', 'flags': 0}, {'version': 1667951976085, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1031664858493616139', 'nsfw': False, 'name': 'bot-commands', 'last_message_id': '1040068776055550025', 'id': '1039690685852422225', 'flags': 0}], 'default_message_notifications': 0, 'application_id': None, 'members': [{'user': {'username': 'RABBOT', 'public_flags': 0, 'id': '1039344351454711888', 'discriminator': '1694', 'bot': True, 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203'}, 'roles': ['1040068530042843180'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-11-08T07:14:35.282000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'presences': [], 'roles': [{'version': 1666038469665, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '1071698660929', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1031664857939984494', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1666989708320, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1090489151095', 'name': 'Adminz', 'mentionable': False, 'managed': False, 'id': '1035654160152006657', 'icon': None, 'hoist': False, 'flags': 0, 'color': 12745742}, {'version': 1667583999807, 'unicode_emoji': None, 'tags': {'premium_subscriber': None}, 'position': 1, 'permissions': '1071698660929', 'name': 'Server Booster', 'mentionable': False, 'managed': True, 'id': '1038147281683226705', 'icon': None, 'hoist': False, 'flags': 0, 'color': 16023551}, {'version': 1668042061130, 'unicode_emoji': None, 'tags': {'bot_id': '1039344351454711888'}, 'position': 1, 'permissions': '534723947584', 'name': 'py-rabbot', 'mentionable': False, 'managed': True, 'id': '1040068530042843180', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'max_stage_video_channel_users': 0, 'afk_timeout': 300, 'preferred_locale': 'en-US', 'premium_tier': 1, 'name': 'Unslack 2.0', 'verification_level': 0, 'banner': None, 'emojis': [{'version': 1666989874595, 'roles': [], 'require_colons': True, 'name': 'nice', 'managed': False, 'id': '1035655339791614063', 'available': True, 'animated': False}, {'version': 1666989888860, 'roles': [], 'require_colons': True, 'name': 'intheend', 'managed': False, 'id': '1035655370519105656', 'available': True, 'animated': False}, {'version': 1666989979632, 'roles': [], 'require_colons': True, 'name': 'is_fine', 'managed': False, 'id': '1035655780277420072', 'available': True, 'animated': False}, {'version': 1666990053743, 'roles': [], 'require_colons': True, 'name': 'lolsob', 'managed': False, 'id': '1035656091155046510', 'available': True, 'animated': False}, {'version': 1666990264434, 'roles': [], 'require_colons': True, 'name': 'ty', 'managed': False, 'id': '1035656960655249508', 'available': True, 'animated': False}, {'version': 1666990851668, 'roles': [], 'require_colons': True, 'name': 'laugh_crying_fu', 'managed': False, 'id': '1035659437932826684', 'available': True, 'animated': False}, {'version': 1666990855561, 'roles': [], 'require_colons': True, 'name': 'laughcrying', 'managed': False, 'id': '1035659454240280606', 'available': True, 'animated': False}, {'version': 1666990978291, 'roles': [], 'require_colons': True, 'name': 'fancy_goose', 'managed': False, 'id': '1035659968604553217', 'available': True, 'animated': False}, {'version': 1666991032476, 'roles': [], 'require_colons': True, 'name': 'true_story', 'managed': False, 'id': '1035660196099395676', 'available': True, 'animated': False}, {'version': 1667403051145, 'roles': [], 'require_colons': True, 'name': 'badjokedog', 'managed': False, 'id': '1035660343030059011', 'available': True, 'animated': False}, {'version': 1666991109479, 'roles': [], 'require_colons': True, 'name': 'pixel_heart', 'managed': False, 'id': '1035660519316652153', 'available': True, 'animated': False}, {'version': 1666991166127, 'roles': [], 'require_colons': True, 'name': 'oof', 'managed': False, 'id': '1035660756844294275', 'available': True, 'animated': False}, {'version': 1666991169373, 'roles': [], 'require_colons': True, 'name': 'elmofire', 'managed': False, 'id': '1035660770496741437', 'available': True, 'animated': False}, {'version': 1666991269844, 'roles': [], 'require_colons': True, 'name': 'hidethepain', 'managed': False, 'id': '1035661191642624001', 'available': True, 'animated': False}, {'version': 1666991274710, 'roles': [], 'require_colons': True, 'name': 'troll', 'managed': False, 'id': '1035661212278599761', 'available': True, 'animated': False}, {'version': 1666991707528, 'roles': [], 'require_colons': True, 'name': 'troll_peeking', 'managed': False, 'id': '1035663027661439088', 'available': True, 'animated': False}, {'version': 1666993013114, 'roles': [], 'require_colons': True, 'name': 'sus', 'managed': False, 'id': '1035668503711199293', 'available': True, 'animated': False}, {'version': 1666993115423, 'roles': [], 'require_colons': True, 'name': 'notsureif', 'managed': False, 'id': '1035668912102195330', 'available': True, 'animated': False}, {'version': 1666993177450, 'roles': [], 'require_colons': True, 'name': 'facepalm', 'managed': False, 'id': '1035669192692748379', 'available': True, 'animated': False}, {'version': 1666993210901, 'roles': [], 'require_colons': True, 'name': 'wtftrek', 'managed': False, 'id': '1035669333193539637', 'available': True, 'animated': False}, {'version': 1666993242020, 'roles': [], 'require_colons': True, 'name': 'wat', 'managed': False, 'id': '1035669463795761232', 'available': True, 'animated': False}, {'version': 1666993305571, 'roles': [], 'require_colons': True, 'name': 'cool', 'managed': False, 'id': '1035669730331205733', 'available': True, 'animated': False}, {'version': 1667252049001, 'roles': [], 'require_colons': True, 'name': 'honk', 'managed': False, 'id': '1036754978926248007', 'available': True, 'animated': False}, {'version': 1667422031074, 'roles': [], 'require_colons': True, 'name': 'care', 'managed': False, 'id': '1037467935427526716', 'available': True, 'animated': False}, {'version': 1667422099307, 'roles': [], 'require_colons': True, 'name': 'losinggriponrealityyeehaw', 'managed': False, 'id': '1037468158321234064', 'available': True, 'animated': False}, {'version': 1667858196460, 'roles': [], 'require_colons': True, 'name': 'toes', 'managed': False, 'id': '1039297327195754550', 'available': True, 'animated': False}, {'version': 1667858825771, 'roles': [], 'require_colons': True, 'name': 'marktoes', 'managed': False, 'id': '1039299985197506630', 'available': True, 'animated': False}], 'features': ['INVITE_SPLASH', 'THREE_DAY_THREAD_ARCHIVE', 'ANIMATED_ICON'], 'owner_id': '690979752902787164', 'member_count': 8}}
[2022-11-09 17:03:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': '9450c0d40709a17c634f17c5bac6745e', 'members': [{'user': {'username': 'Gats', 'public_flags': 128, 'id': '244263489248559104', 'discriminator': '9768', 'bot': False, 'avatar': 'f48ef375505f98f6922c63ea93ec3ff8'}, 'roles': ['267167266741813248', '267166481563779073', '267167784834826242'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2017-01-07T01:01:10.424000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'James Shen', 'public_flags': 0, 'id': '692932013623214102', 'discriminator': '7457', 'bot': False, 'avatar': '88f324627330daf3278ececbf67fa7ab'}, 'roles': ['267167266741813248'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-03-27T03:05:38.803000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'RABBOT', 'public_flags': 0, 'id': '1039344351454711888', 'discriminator': '1694', 'bot': True, 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203'}, 'roles': ['1039347594574438420'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-11-08T01:16:16.712800+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'guild_id': '267095251393576963', 'chunk_index': 0, 'chunk_count': 1}}
[2022-11-09 17:03:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-11-09 17:03:33] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 267095251393576963.
[2022-11-09 17:03:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 5, 'op': 0, 'd': {'nonce': '6163d753cec3ba5397d935ab458870a8', 'members': [{'user': {'username': 'Gats', 'public_flags': 128, 'id': '244263489248559104', 'discriminator': '9768', 'bot': False, 'avatar': 'f48ef375505f98f6922c63ea93ec3ff8'}, 'roles': ['1038147281683226705', '1035654160152006657'], 'premium_since': '2022-11-04T17:55:33.067000+00:00', 'pending': False, 'nick': 'Heston', 'mute': False, 'joined_at': '2022-10-17T20:49:57.627000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'aderthad', 'public_flags': 0, 'id': '284884507113553920', 'discriminator': '0017', 'bot': False, 'avatar': 'ffa14fc7f81ef51f7a7d1ab579e11c95'}, 'roles': ['1038147281683226705', '1035654160152006657'], 'premium_since': '2022-11-04T17:46:39.624000+00:00', 'pending': False, 'nick': 'Adrian', 'mute': False, 'joined_at': '2022-10-17T20:35:57.335000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'NickB', 'public_flags': 0, 'id': '312780083532398592', 'discriminator': '5403', 'bot': False, 'avatar': 'c9a76a7cc3fc4a7b838f0db999298c54'}, 'roles': ['1035654160152006657'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-11-09T18:28:58.010000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'mwa', 'public_flags': 0, 'id': '485526016983564289', 'discriminator': '1520', 'bot': False, 'avatar': '96d504e435fafc184dfa25fd6794593d'}, 'roles': ['1035654160152006657'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-17T20:31:23.060000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Aprylle', 'public_flags': 0, 'id': '690979752902787164', 'discriminator': '4581', 'bot': False, 'avatar': 'db65386aa787168e7e5122f23830e0c8'}, 'roles': ['1035654160152006657'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-17T20:27:49.612000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'degaauusser', 'public_flags': 0, 'id': '703343529954377778', 'discriminator': '8914', 'bot': False, 'avatar': None}, 'roles': ['1035654160152006657'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-10-17T20:37:32.282000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Toofie', 'public_flags': 0, 'id': '761297937472946186', 'discriminator': '0794', 'bot': False, 'avatar': 'e525a05c404af32ad3d9854b7841323d'}, 'roles': ['1035654160152006657'], 'premium_since': None, 'pending': False, 'nick': 'NickB', 'mute': False, 'joined_at': '2022-11-09T18:09:18.047000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'RABBOT', 'public_flags': 0, 'id': '1039344351454711888', 'discriminator': '1694', 'bot': True, 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203'}, 'roles': ['1040068530042843180'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-11-08T07:14:35.282000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'guild_id': '1031664857939984494', 'chunk_index': 0, 'chunk_count': 1}}
[2022-11-09 17:03:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-11-09 17:03:34] [DEBUG   ] discord.state: Processed a chunk for 8 members in guild ID 1031664857939984494.
